"Feed name","Reference","DM","ADF","NDF","ADL","CP","OM","P","Ca","Na","Fe","K","Mg","Cu","Mn","Zn","IVDMD","ME","NEm","NEg","NEl","Country"
"Calliandra calothyrsus","100058","88.82","33.99","43.67","14.31","21.44","93.89","","","","","","","","","","","","","","",""
"Calliandra calothyrsus","100059","88.60","29.20","42.74","11.43","21.88","94.14","","","","","","","","","","","","","","",""
"Calliandra calothyrsus","100063","88.72","28.14","39.82","11.24","21.75","93.60","","","","","","","","","","","","","","",""
"Calliandra calothyrsus","100064","88.23","26.26","39.56","10.54","21.94","93.35","","","","","","","","","","","","","","",""
"Calliandra calothyrsus","100065","88.40","24.17","38.87","8.47","21.81","93.11","","","","","","","","","","","","","","",""
"Calliandra calothyrsus","100069","88.12","39.37","42.11","18.19","22.38","94.24","","","","","","","","","","","","","","",""
"Calliandra calothyrsus","100070","87.93","37.63","42.30","16.59","22.50","94.20","","","","","","","","","","","","","","",""
"Calliandra calothyrsus","100078","90.33","33.47","37.63","14.54","23.00","93.76","","","","","","","","","","","","","","",""
"Calliandra calothyrsus","100079","90.16","30.15","38.55","13.35","22.88","94.05","","","","","","","","","","","","","","",""
"Calliandra calothyrsus","100080","89.86","33.69","38.92","15.66","22.94","94.10","","","","","","","","","","","","","","",""
"Calliandra calothyrsus","101940","90.39","35.20","50.46","17.09","22.25","88.97","","","","","","","","","","","","","","","Ethiopia"
"Calliandra calothyrsus","102200","90.75","","","","","92.48","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102201","91.64","","","","","92.34","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102202","90.97","","","","","93.05","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102203","90.53","","","","","94.89","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102204","90.85","","","","","94.66","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102205","91.22","","","","","94.72","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102206","90.72","","","","","93.15","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102207","90.41","","","","","94.84","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102208","90.56","","","","","94.03","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102209","90.68","","","","","94.48","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102210","90.68","","","","","94.71","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102211","90.88","","","","","93.32","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102212","90.06","","","","","90.70","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102213","90.91","","","","","94.02","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102214","90.78","","","","","93.92","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102215","90.33","","","","","94.92","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102216","89.87","","","","","94.47","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102217","90.40","","","","","94.23","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102218","90.17","","","","","94.96","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102219","89.66","","","","","94.38","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102220","89.92","","","","","94.99","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102221","90.24","","","","","94.62","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102222","90.64","","","","","94.83","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102223","90.08","","","","","94.73","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102250","89.66","","","","","100.00","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102251","89.99","","","","","100.00","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102252","90.25","","","","","100.00","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102895","89.58","","","","25.88","88.83","3.40","11.80","237.44","690.33","8.80","6.40","17.19","102.70","28.80","","","","","","Ethiopia"
"Calliandra calothyrsus","102919","","","","","","100.00","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","102921","","","","","","100.00","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","103120","89.77","","33.73","","29.44","94.43","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","103134","92.90","","43.88","","23.94","91.71","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","103367","90.42","","","","","100.00","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","103368","91.13","","","","","100.00","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","103373","90.27","","","","","100.00","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","103374","90.48","","","","","100.00","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","103375","89.33","","","","","100.00","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","103376","89.50","","","","","100.00","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","103377","89.84","","","","","100.00","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","103388","89.94","","","","","100.00","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","103389","90.22","","","","","100.00","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","103390","89.38","","","","","100.00","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","103391","91.23","","","","","100.00","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","103392","89.61","","","","","100.00","","","","","","","","","","","","","","","Kenya"
"Calliandra calothyrsus","114109","93.60","28.64","38.56","10.72","13.31","91.25","1.40","9.40","","","4.40","","","","","52.24","7.95","4.44","2.09","4.77","Ethiopia"
"Calliandra calothyrsus","114110","92.37","26.57","43.70","7.72","15.69","94.10","1.60","8.40","","","7.70","","","","","48.12","7.66","4.14","1.84","4.56","Ethiopia"
