"Reference","Feed name","DM","ADF","NDF","ADL","CP","OM","P","Ca","Na","Fe","K","Mg","Cu","Mn","Zn","IVDMD","ME","NEm","NEg","NEl","Country"
"112722","Clover (T. quartinianum)","89.88","22.17","26.82","3.13","20.31","86.36","","","","","","","","","","","","","","","Ethiopia"
"112723","Clover (T. quartinianum)","90.36","23.21","27.72","3.21","19.38","86.57","","","","","","","","","","","","","","","Ethiopia"
"112724","Clover (T. quartinianum)","89.82","25.94","29.48","3.97","20.06","86.42","","","","","","","","","","","","","","","Ethiopia"
"112759","Clover (T. quartinianum)","89.49","34.55","40.74","3.97","17.63","76.72","","","","","","","","","","","","","","","Ethiopia"
"112760","Clover (T. quartinianum)","88.63","44.71","46.16","6.07","11.63","83.11","","","","","","","","","","","","","","","Ethiopia"
"112761","Clover (T. quartinianum)","90.00","43.56","44.47","6.06","13.44","82.42","","","","","","","","","","","","","","","Ethiopia"
"112762","Clover (T. quartinianum)","89.15","42.91","45.25","6.56","11.38","83.55","","","","","","","","","","","","","","","Ethiopia"
"112763","Clover (T. quartinianum)","89.07","42.26","43.84","5.59","10.63","83.27","","","","","","","","","","","","","","","Ethiopia"
"112764","Clover (T. quartinianum)","89.95","47.37","51.85","8.67","8.25","86.41","","","","","","","","","","","","","","","Ethiopia"
"112765","Clover (T. quartinianum)","90.62","49.90","56.15","8.39","7.63","86.84","","","","","","","","","","","","","","","Ethiopia"
"112766","Clover (T. quartinianum)","90.36","49.96","52.73","7.85","7.25","87.14","","","","","","","","","","","","","","","Ethiopia"
"112767","Clover (T. quartinianum)","90.41","49.41","56.97","8.15","6.69","85.88","","","","","","","","","","","","","","","Ethiopia"
"112791","Clover (T. quartinianum)","89.06","23.96","29.00","5.20","27.38","90.12","","","","","","","","","","","","","","","Ethiopia"
"112792","Clover (T. quartinianum)","87.93","26.57","34.77","6.68","22.19","90.11","","","","","","","","","","","","","","","Ethiopia"
"112793","Clover (T. quartinianum)","88.19","26.10","37.91","6.81","21.38","90.64","","","","","","","","","","","","","","","Ethiopia"
"112794","Clover (T. quartinianum)","88.23","26.57","37.73","6.00","19.81","90.26","","","","","","","","","","","","","","","Ethiopia"
"112795","Clover (T. quartinianum)","88.39","26.32","37.33","6.12","21.69","90.07","","","","","","","","","","","","","","","Ethiopia"
"115867","Clover (T. quartinianum)","91.05","","","","15.94","83.93","","","","","","","","","","","","","","","Ethiopia"
"115875","Clover (T. quartinianum)","90.75","","","","18.94","82.20","","","","","","","","","","","","","","","Ethiopia"
"121018","Persian clover","90.58","24.89","30.03","3.25","13.31","89.31","","","","","","","","","","","","","","","Ethiopia"
"121019","Persian clover","91.18","20.64","25.66","2.26","12.44","90.74","","","","","","","","","","","","","","","Ethiopia"
"121020","Persian clover","91.02","25.28","30.91","2.82","13.69","88.95","","","","","","","","","","","","","","","Ethiopia"
"121025","Persian clover","94.51","22.93","28.62","2.68","9.31","90.20","","","","","","","","","","","","","","","Ethiopia"
"121133","Persian clover","89.05","","","","13.56","93.01","","","","","","","","","","","","","","","Ethiopia"
"121134","Persian clover","90.99","","","","11.31","93.24","","","","","","","","","","","","","","","Ethiopia"
"121135","Persian clover","91.05","","","","11.06","92.76","","","","","","","","","","","","","","","Ethiopia"
"121136","Persian clover","90.91","","","","16.13","92.62","","","","","","","","","","","","","","","Ethiopia"
"121137","Persian clover","91.36","","","","15.38","","","","","","","","","","","","","","","","Ethiopia"
"121138","Persian clover","90.71","","","","14.56","","","","","","","","","","","","","","","","Ethiopia"
"121139","Persian clover","90.99","","","","15.38","","","","","","","","","","","","","","","","Ethiopia"
"121140","Persian clover","90.99","","","","12.00","93.39","","","","","","","","","","","","","","","Ethiopia"
"102321","Clover (T. rueppellianum)","91.78","","26.59","","22.75","84.09","","","","","","","","","","","","","","","Ethiopia"
"102322","Clover (T. rueppellianum)","92.56","","26.56","","19.44","83.88","","","","","","","","","","","","","","","Ethiopia"
"102323","Clover (T. rueppellianum)","92.99","","27.64","","20.25","82.99","","","","","","","","","","","","","","","Ethiopia"
"102330","Clover (T. rueppellianum)","93.94","","49.07","","15.00","85.78","","","","","","","","","","","","","","","Ethiopia"
"102331","Clover (T. rueppellianum)","92.47","","44.43","","16.19","88.35","","","","","","","","","","","","","","","Ethiopia"
"102332","Clover (T. rueppellianum)","92.86","","45.38","","15.25","85.23","","","","","","","","","","","","","","","Ethiopia"
"102339","Clover (T. rueppellianum)","93.65","","37.14","","17.44","86.15","","","","","","","","","","","","","","","Ethiopia"
"102340","Clover (T. rueppellianum)","95.36","","34.95","","16.69","86.56","","","","","","","","","","","","","","","Ethiopia"
"102341","Clover (T. rueppellianum)","93.52","","39.40","","16.06","87.42","","","","","","","","","","","","","","","Ethiopia"
"102348","Clover (T. rueppellianum)","93.93","","26.37","","20.44","81.61","","","","","","","","","","","","","","","Ethiopia"
"102349","Clover (T. rueppellianum)","94.16","","26.22","","22.44","81.83","","","","","","","","","","","","","","","Ethiopia"
"102350","Clover (T. rueppellianum)","93.07","","26.43","","23.19","83.68","","","","","","","","","","","","","","","Ethiopia"
"102357","Clover (T. rueppellianum)","92.28","","38.22","","16.13","85.92","","","","","","","","","","","","","","","Ethiopia"
"102358","Clover (T. rueppellianum)","92.23","","39.97","","15.69","86.99","","","","","","","","","","","","","","","Ethiopia"
"102359","Clover (T. rueppellianum)","92.55","","36.86","","16.69","86.54","","","","","","","","","","","","","","","Ethiopia"
"102366","Clover (T. rueppellianum)","90.25","","30.63","","18.94","86.09","","","","","","","","","","","","","","","Ethiopia"
"102367","Clover (T. rueppellianum)","90.73","","31.43","","19.13","86.90","","","","","","","","","","","","","","","Ethiopia"
"102368","Clover (T. rueppellianum)","90.92","","32.00","","18.88","87.18","","","","","","","","","","","","","","","Ethiopia"
"102375","Clover (T. rueppellianum)","92.79","","47.98","","13.88","88.75","","","","","","","","","","","","","","","Ethiopia"
"102376","Clover (T. rueppellianum)","93.19","","52.93","","14.50","87.56","","","","","","","","","","","","","","","Ethiopia"
"102377","Clover (T. rueppellianum)","92.46","","48.39","","15.75","88.70","","","","","","","","","","","","","","","Ethiopia"
"102378","Clover (T. rueppellianum)","92.09","","43.47","","14.06","85.59","","","","","","","","","","","","","","","Ethiopia"
"102379","Clover (T. rueppellianum)","93.76","","42.66","","15.75","86.44","","","","","","","","","","","","","","","Ethiopia"
"102380","Clover (T. rueppellianum)","92.66","","47.15","","14.88","88.00","","","","","","","","","","","","","","","Ethiopia"
"102381","Clover (T. rueppellianum)","93.15","","42.45","","14.94","85.28","","","","","","","","","","","","","","","Ethiopia"
"102382","Clover (T. rueppellianum)","93.70","","45.74","","15.38","87.92","","","","","","","","","","","","","","","Ethiopia"
"102383","Clover (T. rueppellianum)","92.76","","48.57","","14.38","86.61","","","","","","","","","","","","","","","Ethiopia"
"102384","Clover (T. rueppellianum)","95.01","","48.54","","15.88","86.25","","","","","","","","","","","","","","","Ethiopia"
"102385","Clover (T. rueppellianum)","94.14","","45.58","","15.44","85.17","","","","","","","","","","","","","","","Ethiopia"
"102386","Clover (T. rueppellianum)","92.34","","48.27","","13.81","87.04","","","","","","","","","","","","","","","Ethiopia"
"102387","Clover (T. rueppellianum)","91.37","","45.70","","14.44","87.06","","","","","","","","","","","","","","","Ethiopia"
"102388","Clover (T. rueppellianum)","90.54","","48.00","","14.13","87.05","","","","","","","","","","","","","","","Ethiopia"
"102389","Clover (T. rueppellianum)","91.94","","48.85","","15.13","87.25","","","","","","","","","","","","","","","Ethiopia"
"102390","Clover (T. rueppellianum)","92.84","","47.50","","15.56","85.33","","","","","","","","","","","","","","","Ethiopia"
"102391","Clover (T. rueppellianum)","93.27","","51.02","","14.88","88.30","","","","","","","","","","","","","","","Ethiopia"
"102392","Clover (T. rueppellianum)","91.64","","50.50","","15.13","87.62","","","","","","","","","","","","","","","Ethiopia"
"102411","Clover (T. rueppellianum)","92.25","","41.77","","","88.21","","","","","","","","","","","","","","","Ethiopia"
"102412","Clover (T. rueppellianum)","91.23","","44.43","","","88.06","","","","","","","","","","","","","","","Ethiopia"
"102413","Clover (T. rueppellianum)","93.13","","39.60","","","86.57","","","","","","","","","","","","","","","Ethiopia"
"102414","Clover (T. rueppellianum)","92.62","","42.43","","","89.48","","","","","","","","","","","","","","","Ethiopia"
"102415","Clover (T. rueppellianum)","93.47","","43.18","","","88.69","","","","","","","","","","","","","","","Ethiopia"
"102416","Clover (T. rueppellianum)","92.22","","44.38","","","86.56","","","","","","","","","","","","","","","Ethiopia"
"102417","Clover (T. rueppellianum)","89.56","","40.42","","","89.10","","","","","","","","","","","","","","","Ethiopia"
"119984","Chrysopogon aucheri","90.85","","","","4.94","91.21","","","","","","","","","","","","","","","Ethiopia"
"119985","Chrysopogon aucheri","91.22","","","","6.94","85.38","","","","","","","","","","","","","","","Ethiopia"
"119986","Chrysopogon aucheri","91.80","","","","3.50","87.19","","","","","","","","","","","","","","","Ethiopia"
"119987","Chrysopogon aucheri","91.45","","","","5.50","84.95","","","","","","","","","","","","","","","Ethiopia"
"119988","Chrysopogon aucheri","90.66","","","","8.38","87.69","","","","","","","","","","","","","","","Ethiopia"
"119989","Chrysopogon aucheri","91.00","","","","7.06","88.75","","","","","","","","","","","","","","","Ethiopia"
"119990","Chrysopogon aucheri","91.11","","","","4.63","84.23","","","","","","","","","","","","","","","Ethiopia"
"119991","Chrysopogon aucheri","91.64","","","","5.19","89.92","","","","","","","","","","","","","","","Ethiopia"
"119992","Chrysopogon aucheri","91.62","","","","4.00","87.99","","","","","","","","","","","","","","","Ethiopia"
"119993","Chrysopogon aucheri","91.54","","","","5.69","88.96","","","","","","","","","","","","","","","Ethiopia"
"119994","Chrysopogon aucheri","91.06","","","","7.56","89.61","","","","","","","","","","","","","","","Ethiopia"
"119995","Chrysopogon aucheri","91.11","","","","6.31","92.01","","","","","","","","","","","","","","","Ethiopia"
"119996","Chrysopogon aucheri","91.40","","","","5.31","91.65","","","","","","","","","","","","","","","Ethiopia"
"119997","Chrysopogon aucheri","91.29","","","","5.25","91.38","","","","","","","","","","","","","","","Ethiopia"
"119998","Chrysopogon aucheri","91.97","","","","5.81","84.97","","","","","","","","","","","","","","","Ethiopia"
"119999","Chrysopogon aucheri","91.48","","","","6.75","90.44","","","","","","","","","","","","","","","Ethiopia"
