"Reference","Feed name","DM","ADF","NDF","ADL","CP","OM","P","Ca","Na","Fe","K","Mg","Cu","Mn","Zn","IVDMD","ME","NEm","NEg","NEl","Country"
"56321","Sweet potato stem + vines","92.02","22.31","32.59","5.19","21.70","87.21","","","","","22.90","","","","","70.96","10.00","6.32","3.85","6.23","Rwanda"
"56322","Sweet potato stem + vines","92.80","22.49","32.65","5.35","22.14","84.49","","","","","27.90","","","","","69.24","9.46","5.82","3.39","5.86","Rwanda"
"56323","Sweet potato stem + vines","92.58","26.08","35.37","5.36","18.11","86.04","","","","","28.00","","","","","70.01","9.75","6.11","3.64","6.07","Rwanda"
"56324","Sweet potato stem + vines","91.88","22.17","28.93","4.62","22.88","82.22","","","","","27.20","","","","","69.95","9.25","5.65","3.22","5.69","Rwanda"
"56325","Sweet potato stem + vines","92.77","18.16","26.50","3.31","25.61","83.05","","","","","28.20","","","","","72.60","9.67","6.02","3.56","5.98","Rwanda"
"56326","Sweet potato stem + vines","91.90","25.56","34.46","4.12","17.71","87.69","","","","","23.30","","","","","71.29","10.13","6.44","3.93","6.32","Rwanda"
"56327","Sweet potato stem + vines","91.60","22.10","32.60","4.50","20.09","89.87","","","","","16.60","","","","","71.56","10.42","6.69","4.18","6.53","Rwanda"
"56328","Sweet potato stem + vines","92.64","26.40","31.15","3.87","18.38","84.86","","","","","27.90","","","","","71.02","9.71","6.07","3.60","6.02","Rwanda"
"56329","Sweet potato stem + vines","91.97","26.97","35.20","5.18","16.82","88.38","","","","","20.90","","","","","70.53","10.08","6.40","3.89","6.28","Rwanda"
"56330","Sweet potato stem + vines","92.54","21.61","33.34","4.62","20.82","88.39","","","","","18.10","","","","","70.17","10.04","6.36","3.85","6.28","Rwanda"
"56331","Sweet potato stem + vines","92.63","23.17","31.74","4.21","20.76","83.82","","","","","28.40","","","","","70.49","9.54","5.90","3.47","5.90","Rwanda"
"56332","Sweet potato stem + vines","92.67","29.17","37.95","6.46","16.32","87.06","","","","","29.60","","","","","68.45","9.67","6.02","3.56","5.98","Rwanda"
"56333","Sweet potato stem + vines","92.04","22.24","30.89","4.13","22.11","83.99","","","","","25.30","","","","","71.71","9.71","6.07","3.60","6.02","Rwanda"
"56334","Sweet potato stem + vines","92.19","20.19","28.57","4.31","24.01","84.35","","","","","26.90","","","","","71.72","9.75","6.11","3.64","6.07","Rwanda"
"56335","Sweet potato stem + vines","92.61","24.73","35.03","5.66","19.76","84.51","","","","","34.80","","","","","70.46","9.62","5.98","3.51","5.98","Rwanda"
"56337","Sweet potato stem + vines","92.04","20.41","26.74","3.25","23.25","87.21","","","","","21.80","","","","","73.28","10.33","6.61","4.10","6.49","Rwanda"
"56338","Sweet potato stem + vines","92.51","22.05","32.26","4.00","18.80","87.67","","","","","23.50","","","","","72.67","10.29","6.57","4.06","6.44","Rwanda"
"56339","Sweet potato stem + vines","92.43","24.79","34.91","4.96","18.39","87.80","","","","","19.60","","","","","70.12","10.00","6.32","3.85","6.23","Rwanda"
"56340","Sweet potato stem + vines","91.90","20.99","28.10","4.34","24.41","86.09","","","","","22.90","","","","","73.03","10.13","6.44","3.93","6.32","Rwanda"
"56341","Sweet potato stem + vines","92.26","24.37","33.16","4.17","19.64","88.16","","","","","24.30","","","","","72.69","10.38","6.65","4.14","6.49","Rwanda"
"56342","Sweet potato stem + vines","91.75","22.10","28.94","5.14","21.54","82.83","","","","","28.30","","","","","71.11","9.46","5.82","3.39","5.86","Rwanda"
"56343","Sweet potato stem + vines","91.31","19.87","27.70","4.10","22.99","87.07","","","","","24.40","","","","","73.47","10.33","6.61","4.10","6.49","Rwanda"
"56344","Sweet potato stem + vines","92.37","19.60","26.57","3.54","24.04","85.77","","","","","22.50","","","","","71.62","9.92","6.23","3.77","6.19","Rwanda"
"56345","Sweet potato stem + vines","92.38","28.57","36.23","5.20","16.03","87.03","","","","","28.70","","","","","71.69","10.08","6.40","3.89","6.28","Rwanda"
"56346","Sweet potato stem + vines","91.87","22.11","30.07","4.56","22.76","85.12","","","","","23.00","","","","","71.42","9.83","6.15","3.68","6.11","Rwanda"
"56347","Sweet potato stem + vines","91.59","20.59","28.87","4.27","23.60","85.28","","","","","26.50","","","","","72.93","10.00","6.32","3.85","6.23","Rwanda"
"56348","Sweet potato stem + vines","92.65","21.46","29.35","4.74","23.64","82.27","","","","","32.00","","","","","70.93","9.37","5.73","3.31","5.77","Rwanda"
"56349","Sweet potato stem + vines","92.39","21.41","30.18","3.79","21.86","85.57","","","","","23.60","","","","","72.19","9.96","6.28","3.81","6.19","Rwanda"
"56350","Sweet potato stem + vines","92.20","23.00","29.86","4.26","21.40","85.67","","","","","29.10","","","","","71.09","9.83","6.15","3.68","6.11","Rwanda"
"56351","Sweet potato stem + vines","92.13","25.16","35.04","5.33","19.61","86.50","","","","","26.70","","","","","69.17","9.67","6.02","3.56","5.98","Rwanda"
"56352","Sweet potato stem + vines","91.72","23.50","31.32","5.28","20.26","87.40","","","","","20.00","","","","","71.23","10.08","6.40","3.89","6.28","Rwanda"
"56353","Sweet potato stem + vines","91.96","23.45","30.12","5.41","22.79","82.55","","","","","33.10","","","","","72.12","9.58","5.94","3.51","5.94","Rwanda"
"56354","Sweet potato stem + vines","91.90","22.90","29.96","4.45","22.61","82.99","","","","","34.80","","","","","71.94","9.62","5.98","3.51","5.98","Rwanda"
"56355","Sweet potato stem + vines","92.33","25.82","35.05","5.44","19.14","85.87","","","","","26.60","","","","","68.49","9.54","5.90","3.47","5.90","Rwanda"
